Observer: RMA
     lat: 50:50:38.5
     lon: 4:23:34.5
    date: 20250211
  cutoff: 10

      |#Vis|  BEIDOU-2 I   BEIDOU-2 G   BEIDOU-2 I   BEIDOU-2 I   BEIDOU-2 I   BEIDOU-2 I   BEIDOU-2 G   BEIDOU-2 M   BEIDOU-2 M   BEIDOU-2 M   BEIDOU-2 G   BEIDOU-3S  
              GSO-1 (C06   4 (C04)      GSO-2 (C07   GSO-3 (C08   GSO-4 (C09   GSO-5 (C10   5 (C05)      3 (C11)      4 (C12)      6 (C14)      6 (C02)      IGSO-1S (C 

11:55 | 12 |  ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   11.6 297.1   ---- -----   11.9 196.2   ---- -----   ---- -----   ---- ----- 
12:00 | 12 |  ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   10.7 295.3   ---- -----   13.8 196.4   ---- -----   ---- -----   ---- ----- 
12:05 | 11 |  ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   15.8 196.7   ---- -----   ---- -----   ---- ----- 
12:10 | 11 |  ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   17.8 196.9   ---- -----   ---- -----   ---- ----- 
12:15 | 12 |  ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   19.9 197.2   ---- -----   ---- -----   ---- ----- 
12:20 | 12 |  ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   21.9 197.5   ---- -----   ---- -----   ---- ----- 
12:25 | 12 |  ---- -----   ---- -----   ---- -----   11.0  83.9   ---- -----   ---- -----   ---- -----   ---- -----   24.0 197.9   ---- -----   ---- -----   ---- ----- 
12:30 | 12 |  ---- -----   ---- -----   ---- -----   12.1  83.6   ---- -----   ---- -----   ---- -----   ---- -----   26.1 198.2   ---- -----   ---- -----   ---- ----- 
12:35 | 13 |  11.1 206.2   ---- -----   ---- -----   13.3  83.3   ---- -----   ---- -----   ---- -----   ---- -----   28.2 198.6   ---- -----   ---- -----   ---- ----- 
12:40 | 13 |  13.0 206.7   ---- -----   ---- -----   14.4  82.9   ---- -----   ---- -----   ---- -----   ---- -----   30.3 199.0   ---- -----   ---- -----   ---- ----- 
12:45 | 13 |  15.0 207.2   ---- -----   ---- -----   15.6  82.5   ---- -----   ---- -----   ---- -----   ---- -----   32.4 199.4   ---- -----   ---- -----   ---- ----- 
12:50 | 13 |  16.9 207.7   ---- -----   ---- -----   16.7  82.1   ---- -----   ---- -----   ---- -----   ---- -----   34.6 199.8   ---- -----   ---- -----   ---- ----- 
12:55 | 13 |  18.9 208.3   ---- -----   ---- -----   17.8  81.7   ---- -----   ---- -----   ---- -----   ---- -----   36.7 200.2   ---- -----   ---- -----   ---- ----- 
13:00 | 13 |  20.9 208.9   ---- -----   ---- -----   18.9  81.3   ---- -----   ---- -----   ---- -----   ---- -----   38.9 200.7   ---- -----   ---- -----   ---- ----- 
13:05 | 12 |  22.9 209.5   ---- -----   ---- -----   19.9  80.8   ---- -----   ---- -----   ---- -----   ---- -----   41.1 201.1   ---- -----   ---- -----   ---- ----- 
13:10 | 13 |  25.0 210.2   ---- -----   ---- -----   21.0  80.3   ---- -----   ---- -----   ---- -----   ---- -----   43.3 201.6   ---- -----   ---- -----   ---- ----- 
13:15 | 13 |  27.0 210.9   ---- -----   ---- -----   22.0  79.8   ---- -----   ---- -----   ---- -----   ---- -----   45.5 202.0   ---- -----   ---- -----   ---- ----- 



      |#Vis|  BEIDOU-3 M   BEIDOU-2 I   BEIDOU-3 M   BEIDOU-3 M   BEIDOU-3 M   BEIDOU-3 M   BEIDOU-3 M   BEIDOU-3 M   BEIDOU-3 M   BEIDOU-3 M   BEIDOU-3 G   BEIDOU-3 M 
              10 (C30)     GSO-7 (C16   5 (C23)      6 (C24)      12 (C26)     11 (C25)     13 (C32)     14 (C33)     16 (C35)     15 (C34)     1 (C59)      17 (C36)   

10:00 | 15 |  ---- -----   ---- -----   44.5 280.0   22.9  93.6   ---- -----   78.7  76.4   29.4 285.5   ---- -----   ---- -----   38.2 122.5   ---- -----   ---- ----- 
10:05 | 15 |  ---- -----   ---- -----   46.4 281.2   21.3  94.8   ---- -----   76.9  81.0   28.9 283.3   ---- -----   ---- -----   39.7 120.5   ---- -----   ---- ----- 
10:10 | 16 |  ---- -----   ---- -----   48.2 282.3   19.6  96.0   ---- -----   75.0  84.8   28.2 281.1   ---- -----   ---- -----   41.2 118.4   ---- -----   ---- ----- 
10:15 | 16 |  ---- -----   ---- -----   50.1 283.4   17.9  97.2   ---- -----   73.1  88.1   27.5 279.0   ---- -----   ---- -----   42.5 116.1   ---- -----   ---- ----- 
10:20 | 16 |  ---- -----   ---- -----   52.0 284.4   16.3  98.3   ---- -----   71.2  90.9   26.6 276.9   ---- -----   ---- -----   43.8 113.7   ---- -----   ---- ----- 
10:25 | 15 |  ---- -----   ---- -----   53.9 285.5   14.7  99.5   ---- -----   69.3  93.4   25.7 274.8   ---- -----   ---- -----   45.0 111.2   ---- -----   ---- ----- 
10:30 | 14 |  ---- -----   ---- -----   55.8 286.5   13.0 100.7   ---- -----   67.4  95.8   24.7 272.8   ---- -----   ---- -----   46.1 108.5   ---- -----   ---- ----- 
10:35 | 14 |  ---- -----   ---- -----   57.7 287.5   11.4 101.8   ---- -----   65.4  97.9   23.6 270.9   ---- -----   ---- -----   47.1 105.7   ---- -----   ---- ----- 
10:40 | 13 |  ---- -----   ---- -----   59.7 288.4   ---- -----   ---- -----   63.5  99.9   22.4 269.1   ---- -----   ---- -----   47.9 102.8   ---- -----   ---- ----- 
10:45 | 14 |  ---- -----   ---- -----   61.6 289.3   ---- -----   ---- -----   61.6 101.8   21.2 267.3   ---- -----   ---- -----   48.6  99.7   ---- -----   ---- ----- 
10:50 | 14 |  ---- -----   ---- -----   63.6 290.1   ---- -----   ---- -----   59.6 103.6   19.9 265.6   ---- -----   ---- -----   49.1  96.6   ---- -----   ---- ----- 
10:55 | 14 |  ---- -----   ---- -----   65.6 290.8   ---- -----   ---- -----   57.7 105.3   18.6 263.9   ---- -----   ---- -----   49.5  93.4   ---- -----   ---- ----- 
11:00 | 14 |  ---- -----   ---- -----   67.6 291.4   ---- -----   ---- -----   55.7 107.0   17.2 262.3   ---- -----   ---- -----   49.7  90.1   ---- -----   ---- ----- 
11:05 | 14 |  ---- -----   ---- -----   69.6 291.9   ---- -----   ---- -----   53.8 108.6   15.8 260.8   ---- -----   ---- -----   49.7  86.9   ---- -----   ---- ----- 
